,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set,year_end_ranking,year_end_points,year_end_ranking_cat
0,2015,Adrian Mannarino,105173,27.3,FRA,183.0,L,27.0,1258.0,30,0.0,741.6666666666666,57,28,0.49122807017543857,2,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.36818851251840945,0.20618556701030927,0.780559646539028,0.2309941520467836,0.6136257582827811,0.7079847908745247,0.5211352657004831,0.287598944591029,0.5014475969889982,0.5877192982456141,0.5994108983799705,0.39303482587064675,0.6339066339066339,0.42857142857142855,0,,2,0.0,4,0.25,12,0.25,21,0.2857142857142857,41,0.36585365853658536,57,27,105.06896551724138,1197.051724137931,144,66,97.11111111111111,39.72727272727273,47,930.0,top100
1,2015,Adrian Menendez Maceiras,104629,29.7,ESP,185.0,R,114.0,477.0,4,0.0,437.5,5,1,0.2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.22857142857142856,0.7571428571428571,0.1388888888888889,0.5809312638580931,0.6984732824427481,0.5291005291005291,0.2248995983935743,0.4207650273224044,0.2916666666666667,0.6,0.47619047619047616,0.5952380952380952,0.6666666666666666,0,,0,,0,,0,,1,0.0,3,0.0,5,2,81.8,702.6,14,6,125.5,41.833333333333336,143,415.0,>100
2,2015,Albert Montanes,103656,34.6,ESP,175.0,R,90.0,571.0,8,0.0,343.75,15,7,0.4666666666666667,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.24528301886792453,0.3522012578616352,0.7044025157232705,0.2621951219512195,0.5790494665373423,0.6917922948073701,0.4539170506912442,0.3287671232876712,0.4772234273318872,0.8292682926829268,0.6855345911949685,0.3161764705882353,0.5688073394495413,0.4,0,,0,,1,0.0,1,0.0,5,0.2,9,0.4444444444444444,15,10,111.33333333333333,930.8666666666667,35,24,97.7,40.708333333333336,116,508.0,>100
3,2015,Albert Ramos,105077,27.7,ESP,188.0,L,54.0,836.0,23,0.0,771.7391304347826,39,16,0.41025641025641024,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3088888888888889,0.18666666666666668,0.7733333333333333,0.19825708061002179,0.6336667816488444,0.6788241698421339,0.5348399246704332,0.2794285714285714,0.47002606429192006,0.5490196078431373,0.6311111111111111,0.3611111111111111,0.6408450704225352,0.5833333333333334,2,0.0,4,0.25,6,0.16666666666666666,8,0.125,20,0.3,34,0.35294117647058826,39,25,56.94871794871795,2034.8461538461538,97,60,100.56,41.9,54,798.0,top100
4,2015,Alejandro Falla,104268,31.6,COL,185.0,L,101.0,547.0,11,0.0,886.3636363636364,20,7,0.35,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2651162790697674,0.29767441860465116,0.7302325581395348,0.2037037037037037,0.5892857142857143,0.6690909090909091,0.4956521739130435,0.2927120669056153,0.46975806451612906,0.5092592592592593,0.5627906976744186,0.4,0.5206611570247934,0.1111111111111111,0,,1,0.0,3,0.0,4,0.0,7,0.14285714285714285,12,0.16666666666666666,18,12,101.45,1572.8,46,28,88.41666666666667,37.892857142857146,122,484.0,>100
5,2015,Alejandro Gonzalez,105292,26.0,COL,190.0,R,90.0,573.0,11,0.0,681.8181818181819,16,5,0.3125,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2670807453416149,0.21739130434782608,0.68944099378882,0.15853658536585366,0.6107899807321773,0.6640378548895899,0.4752475247524752,0.25487012987012986,0.45861297539149887,0.5670731707317073,0.639751552795031,0.27956989247311825,0.5145631067961165,0.0,0,,1,0.0,1,0.0,3,0.3333333333333333,8,0.375,10,0.3,14,12,100.9375,1169.0,35,29,93.83333333333333,38.827586206896555,141,425.0,>100
6,2015,Aleksandr Nedovyesov,104873,28.4,KAZ,193.0,R,100.0,535.0,5,0.0,950.0,8,2,0.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.22,0.16,0.6599999999999999,0.07547169811320754,0.6423841059602649,0.6443298969072165,0.4351851851851852,0.22099447513812154,0.373134328358209,0.49056603773584906,0.6,0.15384615384615385,0.43333333333333335,0.5,0,,0,,0,,0,,4,0.5,6,0.3333333333333333,5,1,114.75,851.5,13,2,92.0,46.0,162,345.0,>100
7,2015,Alexander Zverev,100644,18.4,GER,198.0,R,74.0,689.0,17,0.0,617.6470588235294,31,14,0.45161290322580644,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.49271844660194175,0.33495145631067963,0.7864077669902912,0.18446601941747573,0.6102583302134033,0.7196319018404908,0.473583093179635,0.24412532637075718,0.48494288681204567,0.4223300970873786,0.5218446601941747,0.4367816091954023,0.5906976744186047,0.4117647058823529,0,,1,0.0,2,0.0,4,0.25,19,0.2631578947368421,25,0.4,31,7,103.29032258064517,1205.967741935484,85,16,83.85714285714286,36.6875,83,647.0,top100
8,2015,Alexandr Dolgopolov,105238,26.9,UKR,180.0,R,23.0,1455.0,26,0.0,807.6923076923077,52,26,0.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.5643879173290938,0.23052464228934816,0.8108108108108107,0.22291993720565148,0.5903522205206738,0.7414613056636403,0.5177570093457944,0.29594272076372313,0.5055762081784386,0.5384615384615384,0.4737678855325914,0.4139941690962099,0.6006711409395973,0.38461538461538464,2,0.0,3,0.0,7,0.2857142857142857,10,0.3,28,0.35714285714285715,48,0.5,51,24,49.92307692307692,1782.9807692307693,128,59,97.33333333333333,39.59322033898305,36,1135.0,top100
9,2015,Aljaz Bedene,105379,26.2,SLO,181.0,R,48.0,877.0,17,0.0,735.2941176470588,34,17,0.5,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.6798029556650246,0.2438423645320197,0.7733990147783252,0.19854721549636803,0.5443425076452599,0.7556179775280899,0.4773489932885906,0.26143790849673204,0.49953227315247895,0.48184019370460046,0.5246305418719212,0.4120603015075377,0.568075117370892,0.6428571428571429,1,0.0,2,0.0,2,0.0,6,0.5,17,0.35294117647058826,28,0.4642857142857143,34,10,74.3529411764706,1408.9411764705883,87,26,110.9,42.65384615384615,45,939.0,top100
10,2015,Andreas Haider Maurer,104890,28.5,AUT,190.0,R,47.0,946.0,26,0.0,692.3076923076923,48,22,0.4583333333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.5212569316081331,0.4269870609981516,0.7652495378927912,0.1801125703564728,0.5501416430594901,0.7224510813594233,0.4811083123425693,0.26971153846153845,0.4625,0.5065666041275797,0.600739371534196,0.35555555555555557,0.6092307692307692,0.4166666666666667,2,0.0,2,0.0,3,0.0,8,0.375,21,0.2857142857142857,38,0.42105263157894735,45,25,74.35416666666667,1538.8541666666667,114,66,110.4,41.81818181818182,63,775.0,top100
